Episode;Steps;Total reward;Explored states;Goal
0;100;10;81;False
1;258;30;264;False
2;94;10;295;False
3;105;10;314;False
4;103;10;338;False
5;182;20;450;False
6;175;20;519;False
7;102;10;530;False
8;178;20;545;False
9;334;40;730;False
10;255;30;766;False
11;177;20;816;False
12;209;20;958;False
13;444;50;1094;False
14;402;40;1278;False
15;165;20;1287;False
16;292;30;1305;False
17;176;20;1309;False
18;281;50;1411;False
19;298;30;1517;False
20;226;30;1573;False
21;169;20;1575;False
22;386;40;1660;False
23;171;20;1742;False
24;292;50;1755;False
25;328;40;1775;False
26;200;20;1802;False
27;431;50;1915;False
28;444;50;2018;False
29;166;20;2040;False
30;289;50;2081;False
31;178;20;2085;False
32;243;30;2094;False
33;172;20;2094;False
34;192;20;2103;False
35;202;20;2125;False
36;171;20;2125;False
37;284;50;2149;False
38;172;20;2149;False
39;290;50;2158;False
40;117;10;2217;False
41;287;50;2256;False
42;235;30;2271;False
43;287;30;2278;False
44;172;20;2280;False
45;287;50;2284;False
46;282;50;2300;False
47;196;20;2301;False
48;171;20;2313;False
49;313;60;2359;False
50;197;20;2424;False
51;284;30;2443;False
52;398;40;2529;False
53;249;30;2537;False
54;406;50;2565;False
55;177;20;2565;False
56;183;20;2570;False
57;376;40;2609;False
58;176;20;2610;False
59;389;40;2678;False
60;357;40;2716;False
61;184;20;2716;False
62;564;10190;2850;True
63;339;40;2897;False
64;287;50;2900;False
65;181;20;2902;False
66;580;70;3057;False
67;327;40;3086;False
68;312;60;3088;False
69;381;40;3121;False
70;332;40;3121;False
71;319;60;3127;False
72;179;20;3127;False
73;178;20;3127;False
74;327;40;3135;False
75;387;60;3147;False
76;677;10190;3452;True
77;419;50;3477;False
78;184;20;3479;False
79;179;20;3479;False
80;559;10190;3568;True
81;171;20;3569;False
82;166;20;3569;False
83;254;30;3578;False
84;292;30;3626;False
85;376;60;3644;False
86;275;50;3646;False
87;254;30;3652;False
88;170;20;3652;False
89;196;20;3653;False
90;330;40;3656;False
91;198;20;3738;False
92;330;40;3738;False
93;202;20;3769;False
94;438;50;3929;False
95;192;20;3929;False
96;173;20;3931;False
97;275;50;3934;False
98;281;50;3936;False
99;427;70;3945;False
100;176;20;3945;False
101;520;60;4041;False
102;214;20;4098;False
103;177;20;4098;False
104;432;50;4114;False
105;178;20;4114;False
106;298;30;4149;False
107;233;30;4152;False
108;180;20;4152;False
109;631;70;4373;False
